id,year,cites
infovis95--528697,1995,30
infovis95--528696,1995,28
infovis95--528695,1995,13
infovis95--528694,1995,1
infovis95--528693,1995,9
infovis95--528692,1995,132
infovis95--528691,1995,199
infovis95--528690,1995,36
infovis95--528689,1995,141
infovis95--528688,1995,216
infovis95--528687,1995,5
infovis95--528686,1995,529
infovis95--528685,1995,202
infovis95--528684,1995,20
infovis95--528683,1995,3
infovis95--528682,1995,71
infovis95--528681,1995,13
infovis95--528680,1995,44
infovis96--559229,1996,7
infovis96--559228,1996,22
infovis96--559227,1996,13
infovis96--559226,1996,74
infovis96--559225,1996,18
infovis96--559224,1996,12
infovis96--559223,1996,12
infovis96--559222,1996,41
infovis96--559221,1996,3
infovis96--559220,1996,10
infovis96--559219,1996,22
infovis96--559218,1996,21
infovis96--559216,1996,72
infovis96--559215,1996,47
infovis96--559214,1996,136
infovis96--559213,1996,80
infovis96--559212,1996,16
infovis96--559211,1996,61
infovis96--559210,1996,138
infovis97--636794,1997,66
infovis97--636793,1997,171
infovis97--636792,1997,257
infovis97--636791,1997,37
infovis97--636790,1997,19
infovis97--636789,1997,44
infovis97--636788,1997,14
infovis97--636787,1997,21
infovis97--636786,1997,106
infovis97--636785,1997,19
infovis97--636784,1997,114
infovis97--636782,1997,13
infovis97--636778,1997,18
infovis97--636761,1997,107
infovis97--636759,1997,52
infovis97--636718,1997,322
infovis98--729570,1998,63
infovis98--729569,1998,19
infovis98--729568,1998,54
infovis98--729567,1998,49
infovis98--729566,1998,10
infovis98--729565,1998,16
infovis98--729564,1998,28
infovis98--729563,1998,85
infovis98--729562,1998,24
infovis98--729561,1998,30
infovis98--729560,1998,143
infovis98--729559,1998,150
infovis98--729558,1998,147
infovis98--729557,1998,60
infovis98--729556,1998,28
infovis98--729555,1998,76
infovis98--729554,1998,19
infovis98--729553,1998,45
infovis99--801851,1999,190
infovis99--801852,1999,28
infovis99--801853,1999,39
infovis99--801854,1999,164
infovis99--801855,1999,58
infovis99--801856,1999,8
infovis99--801857,1999,37
infovis99--801858,1999,68
infovis99--801859,1999,43
infovis99--801860,1999,225
infovis99--801861,1999,28
infovis99--801862,1999,21
infovis99--801863,1999,16
infovis99--801864,1999,16
infovis99--801865,1999,25
infovis99--801866,1999,129
infovis99--801867,1999,27
infovis99--801868,1999,8
infovis99--801869,1999,27
infovis00--857699,2000,14
infovis00--885101,2000,30
infovis00--885102,2000,70
infovis00--885103,2000,12
infovis00--885104,2000,30
infovis00--885105,2000,11
infovis00--885086,2000,302
infovis00--885087,2000,8
infovis00--885088,2000,69
infovis00--885089,2000,24
infovis00--885090,2000,33
infovis00--885091,2000,254
infovis00--885092,2000,264
infovis00--885093,2000,20
infovis00--885094,2000,28
infovis00--885095,2000,74
infovis00--885096,2000,16
infovis00--885097,2000,42
infovis00--885098,2000,382
infovis00--885099,2000,79
infovis01--963273,2001,168
infovis01--963274,2001,46
infovis01--963275,2001,82
infovis01--963277,2001,27
infovis01--963278,2001,28
infovis01--963279,2001,236
infovis01--963280,2001,21
infovis01--963281,2001,22
infovis01--963282,2001,16
infovis01--963283,2001,148
infovis01--963284,2001,37
infovis01--963285,2001,98
infovis01--963286,2001,86
infovis01--963287,2001,64
infovis01--963288,2001,39
infovis01--963289,2001,82
infovis01--963290,2001,99
infovis01--963291,2001,89
infovis01--963292,2001,15
infovis01--963293,2001,18
infovis01--963294,2001,32
infovis01--963295,2001,12
infovis02--1173141,2002,76
infovis02--1173142,2002,29
infovis02--1173143,2002,12
infovis02--1173144,2002,17
infovis02--1173145,2002,48
infovis02--1173146,2002,31
infovis02--1173147,2002,2
infovis02--1173148,2002,263
infovis02--1173149,2002,26
infovis02--1173150,2002,62
infovis02--1173151,2002,97
infovis02--1173152,2002,57
infovis02--1173153,2002,84
infovis02--1173154,2002,9
infovis02--1173155,2002,104
infovis02--1173156,2002,165
infovis02--1173157,2002,147
infovis02--1173158,2002,20
infovis02--1173159,2002,90
infovis02--1173160,2002,103
infovis02--1173161,2002,56
infovis02--1173162,2002,3
infovis02--1173163,2002,9
infovis03--1295823,2003,3
infovis03--1284026,2003,14
infovis03--1249031,2003,71
infovis03--1249028,2003,125
infovis03--1249027,2003,11
infovis03--1249026,2003,10
infovis03--1249025,2003,21
infovis03--1249023,2003,15
infovis03--1249022,2003,11
infovis03--1249020,2003,23
infovis03--1249019,2003,7
infovis03--1249018,2003,15
infovis03--1249016,2003,58
infovis03--1249015,2003,90
infovis03--1249014,2003,28
infovis03--1249010,2003,75
infovis03--1249009,2003,64
infovis03--1249008,2003,80
infovis03--1249007,2003,32
infovis03--1249006,2003,66
infovis03--1249005,2003,13
infovis03--1249004,2003,72
infovis03--1249013,2003,12
infovis03--1249021,2003,7
infovis03--1249024,2003,17
infovis03--1249030,2003,82
infovis03--1249011,2003,148
infovis03--1249012,2003,23
infovis03--1249017,2003,28
infovis04--1382900,2004,41
infovis04--1382901,2004,13
infovis04--1382902,2004,105
infovis04--1382903,2004,95
infovis04--1382904,2004,106
infovis04--1382905,2004,209
infovis04--1382906,2004,86
infovis04--1382907,2004,65
infovis04--1382908,2004,55
infovis04--1382909,2004,123
infovis04--1382910,2004,25
infovis04--1382884,2004,88
infovis04--1382885,2004,92
infovis04--1382886,2004,138
infovis04--1382887,2004,149
infovis04--1382888,2004,50
infovis04--1382889,2004,5
infovis04--1382890,2004,35
infovis04--1382891,2004,58
infovis04--1382892,2004,78
infovis04--1382893,2004,40
infovis04--1382894,2004,105
infovis04--1382895,2004,130
infovis04--1382896,2004,38
infovis04--1382897,2004,36
infovis04--1382898,2004,17
infovis04--1382899,2004,15
infovis05--1532122,2005,88
infovis05--1532123,2005,7
infovis05--1532124,2005,21
infovis05--1532125,2005,45
infovis05--1532126,2005,397
infovis05--1532127,2005,11
infovis05--1532128,2005,13
infovis05--1532129,2005,62
infovis05--1532130,2005,30
infovis05--1532131,2005,24
infovis05--1532132,2005,24
infovis05--1532133,2005,21
infovis05--1532134,2005,50
infovis05--1532135,2005,5
infovis05--1532136,2005,130
infovis05--1532137,2005,16
infovis05--1532138,2005,96
infovis05--1532139,2005,46
infovis05--1532140,2005,8
infovis05--1532141,2005,46
infovis05--1532142,2005,63
infovis05--1532143,2005,16
infovis05--1532144,2005,40
infovis05--1532145,2005,39
infovis05--1532146,2005,10
infovis05--1532147,2005,22
infovis05--1532148,2005,30
infovis05--1532149,2005,21
infovis05--1532150,2005,100
infovis05--1532151,2005,32
infovis05--1532152,2005,15
infovis06--4015416,2006,108
infovis06--4015417,2006,128
infovis06--4015418,2006,41
infovis06--4015419,2006,140
infovis06--4015420,2006,17
infovis06--4015421,2006,41
infovis06--4015422,2006,54
infovis06--4015423,2006,15
infovis06--4015424,2006,131
infovis06--4015425,2006,317
infovis06--4015426,2006,18
infovis06--4015427,2006,52
infovis06--4015428,2006,44
infovis06--4015429,2006,30
infovis06--4015430,2006,9
infovis06--4015431,2006,56
infovis06--4015432,2006,68
infovis06--4015433,2006,54
infovis06--4015434,2006,13
infovis06--4015435,2006,40
infovis06--4015436,2006,37
infovis06--4015437,2006,49
infovis06--4015438,2006,7
infovis06--4015439,2006,111
infovis07--4376129,2007,31
infovis07--4376130,2007,7
infovis07--4376131,2007,331
infovis07--4376132,2007,90
infovis07--4376133,2007,81
infovis07--4376134,2007,87
infovis07--4376135,2007,19
infovis07--4376136,2007,35
infovis07--4376137,2007,25
infovis07--4376138,2007,106
infovis07--4376139,2007,60
infovis07--4376140,2007,72
infovis07--4376141,2007,26
infovis07--4376142,2007,23
infovis07--4376143,2007,106
infovis07--4376144,2007,182
infovis07--4376145,2007,71
infovis07--4376146,2007,106
infovis07--4376147,2007,33
infovis07--4376148,2007,14
infovis07--4376149,2007,19
infovis07--4376150,2007,32
infovis07--4376151,2007,21
infovis07--4376152,2007,45
infovis07--4376153,2007,18
infovis07--4376154,2007,153
infovis07--4376155,2007,47
infovis08--4658123,2008,107
infovis08--4658124,2008,35
infovis08--4658125,2008,12
infovis08--4658126,2008,21
infovis08--4658127,2008,38
infovis08--4658128,2008,32
infovis08--4658129,2008,76
infovis08--4658130,2008,9
infovis08--4658131,2008,66
infovis08--4658132,2008,21
infovis08--4658133,2008,74
infovis08--4658134,2008,31
infovis08--4658135,2008,20
infovis08--4658136,2008,81
infovis08--4658137,2008,35
infovis08--4658138,2008,43
infovis08--4658139,2008,17
infovis08--4658140,2008,73
infovis08--4658141,2008,42
infovis08--4658142,2008,23
infovis08--4658143,2008,14
infovis08--4658144,2008,5
infovis08--4658145,2008,14
infovis08--4658146,2008,84
infovis08--4658147,2008,28
infovis08--4658148,2008,11
infovis08--4658149,2008,59
infovis08--4658150,2008,19
infovis09--5290726,2009,40
infovis09--5290725,2009,23
infovis09--5290724,2009,5
infovis09--5290723,2009,30
infovis09--5290722,2009,85
infovis09--5290721,2009,6
infovis09--5290720,2009,107
infovis09--5290719,2009,17
infovis09--5290718,2009,8
infovis09--5290717,2009,22
infovis09--5290716,2009,5
infovis09--5290715,2009,15
infovis09--5290714,2009,20
infovis09--5290713,2009,32
infovis09--5290712,2009,26
infovis09--5290711,2009,28
infovis09--5290710,2009,24
infovis09--5290709,2009,6
infovis09--5290708,2009,13
infovis09--5290707,2009,29
infovis09--5290706,2009,50
infovis09--5290705,2009,41
infovis09--5290704,2009,31
infovis09--5290703,2009,6
infovis09--5290702,2009,34
infovis09--5290701,2009,15
infovis09--5290700,2009,25
infovis09--5290699,2009,41
infovis09--5290698,2009,17
infovis09--5290697,2009,24
infovis09--5290696,2009,6
infovis09--5290695,2009,70
infovis09--5290694,2009,23
infovis09--5290693,2009,6
infovis09--5290692,2009,39
infovis09--5290691,2009,7
infovis09--5290690,2009,19
infovis10--180,2010,8
infovis10--191,2010,11
infovis10--193,2010,15
infovis10--137,2010,11
infovis10--163,2010,4
infovis10--162,2010,28
infovis10--209,2010,9
infovis10--164,2010,25
infovis10--149,2010,3
infovis10--150,2010,3
infovis10--161,2010,14
infovis10--176,2010,18
infovis10--186,2010,18
infovis10--177,2010,27
infovis10--174,2010,5
infovis10--184,2010,21
infovis10--138,2010,18
infovis10--130,2010,8
infovis10--197,2010,6
infovis10--216,2010,8
infovis10--185,2010,5
infovis10--159,2010,20
infovis10--217,2010,8
infovis10--210,2010,13
infovis10--205,2010,21
infovis10--183,2010,7
infovis10--206,2010,13
infovis10--129,2010,30
infovis10--179,2010,58
infovis10--144,2010,20
infovis10--222,2010,4
infovis10--126,2010,2
infovis10--154,2010,20
infovis10--194,2010,30
infovis10--175,2010,11
infovis11--255,2011,10
